City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Camacha,PT,2022-08-31 02:01:20,33.0833,-16.3333,67.42,68,20,8.05
68,Port Alfred,ZA,2022-08-31 02:01:20,-33.5906,26.891,51.89,65,22,3.11
69,Guerrero Negro,MX,2022-08-31 02:01:21,27.9769,-114.0611,72.52,85,99,16.78
70,Tuktoyaktuk,CA,2022-08-31 02:01:21,69.4541,-133.0374,47.8,82,28,6.91
71,Airai,TL,2022-08-31 02:01:21,-8.9266,125.4092,76.03,42,54,3.4
72,Vaini,TO,2022-08-31 02:01:22,-21.2,-175.2,72.21,75,50,16.13
73,Tuatapere,NZ,2022-08-31 02:01:22,-46.1333,167.6833,59.22,60,100,9.95
74,Fethiye,TR,2022-08-31 02:01:23,36.6217,29.1164,71.47,65,0,3.53
75,Cowra,AU,2022-08-31 02:01:23,-33.8333,148.6833,59.97,64,30,3.76
76,Bongaree,AU,2022-08-31 02:01:23,-27.0797,153.1586,75.22,80,15,3.65
77,Victoria,HK,2022-08-31 01:58:17,22.2855,114.1577,90.97,80,21,5.01
78,East London,ZA,2022-08-31 02:01:24,-33.0153,27.9116,53.01,64,35,8.43
79,Yining,CN,2022-08-31 02:01:24,29.0361,114.5636,76.05,73,99,2.04
80,Lorengau,PG,2022-08-31 02:01:24,-2.0226,147.2712,85.15,71,55,9.71
81,Houston,US,2022-08-31 02:00:36,29.7633,-95.3633,81.91,84,100,5.75
82,Japura,ID,2022-08-31 02:01:24,-0.3167,102.35,81.84,77,49,1.97
83,Hamilton,US,2022-08-31 01:59:45,39.1834,-84.5333,72.88,75,0,3.31
84,Esperantinopolis,BR,2022-08-31 02:01:25,-4.8667,-44.7083,78.08,44,63,1.34
85,Amnat Charoen,TH,2022-08-31 02:01:25,15.9167,104.75,83.44,72,89,3.27
86,Wiarton,CA,2022-08-31 02:01:26,44.7407,-81.1332,65.39,57,6,20.29
87,Kouqian,CN,2022-08-31 02:01:26,43.6391,126.4578,71.04,71,1,3.87
88,Georgetown,MY,2022-08-31 01:57:00,5.4112,100.3354,84.13,85,20,5.99
89,Fairbanks,US,2022-08-31 01:56:40,64.8378,-147.7164,66.09,66,100,1.99
90,Hami,CN,2022-08-31 02:01:26,42.8,93.45,81.77,12,59,12.35
91,Libourne,FR,2022-08-31 02:01:27,44.9167,-0.25,68.5,86,29,3.6
92,Cape Town,ZA,2022-08-31 02:01:27,-33.9258,18.4232,51.1,57,0,1.99
93,Santarem,BR,2022-08-31 02:01:27,-2.4431,-54.7083,77.99,45,2,1.57
94,Mao,ES,2022-08-31 02:01:27,39.8885,4.2658,79.36,94,0,3.44
95,Chirongui,YT,2022-08-31 02:01:28,-12.9319,45.1483,75.13,75,96,17.05
96,Najran,SA,2022-08-31 02:01:28,17.4924,44.1277,77.02,28,100,2.84
97,Hervey Bay,AU,2022-08-31 02:01:29,-25.2986,152.8535,67.6,73,100,3.33
98,Sitka,US,2022-08-31 02:01:29,57.0531,-135.33,57.09,94,100,4.61
99,Kushima,JP,2022-08-31 02:01:29,31.4583,131.2333,90.23,63,36,7.7
100,Sao Joao Da Barra,BR,2022-08-31 02:01:29,-21.6403,-41.0511,64.87,64,99,10.42
101,North Bend,US,2022-08-31 02:01:30,43.4065,-124.2243,70.25,88,53,1.01
102,Churapcha,RU,2022-08-31 02:01:30,62.0025,132.4325,60.08,57,50,8.88
103,Porto Nacional,BR,2022-08-31 02:01:30,-10.7081,-48.4172,80.53,30,43,2.13
104,Terrak,NO,2022-08-31 02:01:31,65.087,12.3715,51.67,86,97,4.81
105,Haikou,CN,2022-08-31 02:01:31,20.0458,110.3417,86.86,67,83,1.66
106,New Norfolk,AU,2022-08-31 02:01:31,-42.7826,147.0587,60.71,67,99,8.01
107,Pacific Grove,US,2022-08-31 02:01:31,36.6177,-121.9166,71.2,80,9,4.0
108,Puerto Ayora,EC,2022-08-31 02:01:32,-0.7393,-90.3518,70.56,91,81,7.0
109,Tyup,KG,2022-08-31 02:01:32,42.7276,78.3648,58.1,59,3,1.95
110,Kodiak,US,2022-08-31 02:01:32,57.79,-152.4072,57.45,76,100,9.86
111,Katherine,AU,2022-08-31 02:01:33,-14.4667,132.2667,86.32,51,100,13.8
112,Agdam,AZ,2022-08-31 02:01:33,39.991,46.9274,70.03,35,0,5.19
113,Hobart,AU,2022-08-31 01:57:06,-42.8794,147.3294,61.05,59,20,11.5
114,Bethel,US,2022-08-31 01:59:13,41.3712,-73.414,77.76,83,72,1.01
115,Beira,MZ,2022-08-31 02:01:34,-19.8436,34.8389,68.79,81,97,19.89
116,Waipawa,NZ,2022-08-31 02:01:34,-41.4122,175.5153,53.47,69,72,14.38
117,Luderitz,NA,2022-08-31 02:01:34,-26.6481,15.1594,60.06,57,52,2.44
118,Saint Anthony,US,2022-08-31 02:01:35,45.0205,-93.218,72.82,66,0,3.44
119,Buala,SB,2022-08-31 02:01:35,-8.145,159.5921,80.67,83,95,11.36
120,Torbay,CA,2022-08-31 02:01:35,47.6666,-52.7314,65.75,86,99,9.73
121,Upernavik,GL,2022-08-31 02:01:35,72.7868,-56.1549,36.63,80,6,9.84
122,Tabou,CI,2022-08-31 02:01:36,4.423,-7.3528,75.16,88,100,10.4
123,Tutoia,BR,2022-08-31 02:01:36,-2.7619,-42.2744,78.94,78,99,8.99
124,Nakamura,JP,2022-08-31 02:00:16,32.9833,132.9333,87.46,66,46,5.82
125,Bosaso,SO,2022-08-31 02:01:37,11.2842,49.1816,88.2,53,15,10.07
126,Turbat,PK,2022-08-31 02:01:37,26.0023,63.044,80.4,74,33,4.0
127,Nobres,BR,2022-08-31 02:01:37,-14.7203,-56.3275,80.73,37,45,3.47
128,Ekhabi,RU,2022-08-31 02:01:38,53.5102,142.9671,70.0,59,21,10.76
129,Arkhangelsk,RU,2022-08-31 02:01:38,64.5401,40.5433,41.11,93,20,4.47
130,Severo-Kurilsk,RU,2022-08-31 02:01:38,50.6789,156.125,58.21,75,0,8.95
131,Norman Wells,CA,2022-08-31 02:01:39,65.282,-126.8329,55.89,81,100,8.12
132,Springfield,US,2022-08-31 01:58:12,37.2153,-93.2982,76.19,77,0,7.76
133,Solnechnyy,RU,2022-08-31 02:01:39,50.7214,136.6319,66.38,63,99,6.49
134,Zhucheng,CN,2022-08-31 02:01:39,35.9947,119.3975,74.48,77,5,6.89
135,Punta Arenas,CL,2022-08-31 01:57:08,-53.15,-70.9167,44.71,65,0,19.57
